lp,title,link,localization,price,rooms_number,area,floor
20,Tuż Przy Ch Blue City | 2 Pokoje | Balkon,https://www.otodom.pl/pl/oferta/tuz-przy-ch-blue-city-2-pokoje-balkon-ID4u2DQ,"ul. Bitwy Warszawskiej 1920 r., Szczęśliwice, Ochota, Warszawa, mazowieckie",947 000 zł,2 pokoje,47 m²,3 piętro
21,2-pokojowe mieszkanie 42m2 + balkon Bez Prowizji,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-42m2-balkon-bez-prowizji-ID4ofg6,"Precyzyjna, Gocław, Praga-Południe, Warszawa, mazowieckie",790 800 zł,2 pokoje,42.33 m²,5 piętro
22,3 pokoje z balkonem i garażem,https://www.otodom.pl/pl/oferta/3-pokoje-z-balkonem-i-garazem-ID4pBGO,"ul. Wólczyńska 69 c, Chomiczówka, Bielany, Warszawa, mazowieckie",1 250 000 zł,3 pokoje,73.25 m²,2 piętro
23,"Przestronne mieszkanie w dobrej lokalizacji, garaż",https://www.otodom.pl/pl/oferta/przestronne-mieszkanie-w-dobrej-lokalizacji-garaz-ID4tOm1,"ul. Kwitnąca, Chomiczówka, Bielany, Warszawa, mazowieckie",740 000 zł,2 pokoje,54.1 m²,2 piętro
24,4-pokojowe mieszkanie 79m2 + 2 ogródki,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-79m2-2-ogrodki-ID4tkXO,"ul. Gratyny, Kępa Zawadowska, Wilanów, Warszawa, mazowieckie",1 439 000 zł,4 pokoje,79.98 m²,parter
25,"Bezpośrednio 2 pokoje, 40,36m Metro, Koneser",https://www.otodom.pl/pl/oferta/bezposrednio-2-pokoje-40-36m-metro-koneser-ID4tmpf,"ul. Białostocka, Szmulowizna, Praga-Północ, Warszawa, mazowieckie",799 000 zł,2 pokoje,40.36 m²,5 piętro
26,3-pokojowe mieszkanie 55m2 + balkon Bez Prowizji,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-55m2-balkon-bez-prowizji-ID4tngI,"Marzycieli, Siekierki, Mokotów, Warszawa, mazowieckie",962 766 zł,3 pokoje,55.2 m²,1 piętro
27,3-pokojowe mieszkanie 78m2 + loggia Bezpośrednio,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-78m2-loggia-bezposrednio-ID4qfy2,"ul. Anny German, Sady Żoliborskie, Żoliborz, Warszawa, mazowieckie",1 883 000 zł,3 pokoje,78.43 m²,1 piętro
28,4-pokojowe mieszkanie 79m2 + balkon Bezpośrednio,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-79m2-balkon-bezposrednio-ID4pF4F,"ul. Szeligowska 24, Chrzanów, Bemowo, Warszawa, mazowieckie",Zapytaj o cenę,4 pokoje,79.87 m²,5 piętro
29,,https://www.otodom.pl/pl/oferta/bezposrednio-2-pokojowe-stan-deweloperski-garaz-ID.4u2EL,,,Brak informacji,Brak informacji,Brak informacji
lp,title,link,localization,price,rooms_number,area,floor
30,4-pokojowe dwustronne mieszkanie na Tarchominie,https://www.otodom.pl/pl/oferta/4-pokojowe-dwustronne-mieszkanie-na-tarchominie-ID4u2oZ,"ul. Strumykowa, Nowodwory, Białołęka, Warszawa, mazowieckie",860 000 zł,4 pokoje,62.62 m²,2 piętro
31,5-pokojowe mieszkanie 132m2 + 3 balkony,https://www.otodom.pl/pl/oferta/5-pokojowe-mieszkanie-132m2-3-balkony-ID4tGS1,"ul. Białego Dębu, Stegny, Mokotów, Warszawa, mazowieckie",3 310 000 zł,5 pokoi,132.33 m²,1 piętro
32,"3 pokojowe mieszkanie o pow. 52 m2, bezpośrednio",https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-o-pow-52-m2-bezposrednio-ID4twW6,"ul. Szaserów, Grochów, Praga-Południe, Warszawa, mazowieckie",730 000 zł,3 pokoje,52 m²,4 piętro
33,1-pokojowe mieszkanie 30m2 + ogródek Bezpośrednio,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-30m2-ogrodek-bezposrednio-ID4pF2n,"ul. Szeligowska 24, Chrzanów, Bemowo, Warszawa, mazowieckie",Zapytaj o cenę,1 pokój,30.88 m²,parter
34,3-pokojowe mieszkanie 69m2 + loggia,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-69m2-loggia-ID4pn9P,"ul. Anny German, Sady Żoliborskie, Żoliborz, Warszawa, mazowieckie",1 731 000 zł,3 pokoje,69.16 m²,2 piętro
35,4 pokoje blisko Placu Zbawiciela,https://www.otodom.pl/pl/oferta/4-pokoje-blisko-placu-zbawiciela-ID4sOWn,"Śródmieście Południowe, Śródmieście, Warszawa, mazowieckie",1 198 000 zł,4 pokoje,60.5 m²,6 piętro
36,"Dwupokojowe mieszkanie z ogródkiem 40 m2, garaż",https://www.otodom.pl/pl/oferta/dwupokojowe-mieszkanie-z-ogrodkiem-40-m2-garaz-ID4tkcm,"ul. Szeligowska, Chrzanów, Bemowo, Warszawa, mazowieckie",1 350 000 zł,2 pokoje,53.2 m²,parter
37,Apartament w wysokim standardzie blisko centrum!,https://www.otodom.pl/pl/oferta/apartament-w-wysokim-standardzie-blisko-centrum-ID4jWYC,"ul. Pawia, Nowolipki, Wola, Warszawa, mazowieckie",1 949 000 zł,2 pokoje,83 m²,1 piętro
38,"Centrum, Al. Jana Pawła II, 2 pokoje, 39 m2",https://www.otodom.pl/pl/oferta/centrum-al-jana-pawla-ii-2-pokoje-39-m2-ID4sAvz,"al. Aleja Jana Pawła II, Śródmieście Północne, Śródmieście, Warszawa, mazowieckie",740 000 zł,2 pokoje,39 m²,10+ piętro
39,Słoneczne mieszkanie z dużym balkonem,https://www.otodom.pl/pl/oferta/sloneczne-mieszkanie-z-duzym-balkonem-ID4c02P,"ul. Konstancińska, Sadyba, Mokotów, Warszawa, mazowieckie",2 080 000 zł,5 pokoi,121.7 m²,2 piętro
40,2-pokojowe mieszkanie 41m2 + loggia Bezpośrednio,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-41m2-loggia-bezposrednio-ID4tbmF,"ul. Żelazna, Mirów, Wola, Warszawa, mazowieckie",1 642 000 zł,2 pokoje,41.05 m²,1 piętro
41,4-pokojowe mieszkanie 91m2 + 2 balkony,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-91m2-2-balkony-ID4qMJh,"ul. Zwrotnicza, Czyste, Wola, Warszawa, mazowieckie",2 024 000 zł,4 pokoje,91.98 m²,1 piętro
42,3-pokojowe mieszkanie 46m2 + balkon Bezpośrednio,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-46m2-balkon-bezposrednio-ID4qUP1,"Precyzyjna, Gocław, Praga-Południe, Warszawa, mazowieckie",866 000 zł,3 pokoje,46.73 m²,5 piętro
43,3-pokojowe mieszkanie 57m2 + balkon,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-57m2-balkon-ID4mM76,"ul. Fajansowa, Raków, Włochy, Warszawa, mazowieckie",943 300 zł,3 pokoje,57.7 m²,2 piętro
44,3-pokojowe mieszkanie 64m2 + loggia Bezpośrednio,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-64m2-loggia-bezposrednio-ID4rzTU,"ul. Aleksandra Kotsisa, Pelcowizna, Praga-Północ, Warszawa, mazowieckie",Zapytaj o cenę,3 pokoje,64.67 m²,4 piętro
45,4-pokojowe mieszkanie 87m2 + 2 balkony,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-87m2-2-balkony-ID4n2q4,"ul. Namysłowska, Nowa Praga, Praga-Północ, Warszawa, mazowieckie",Zapytaj o cenę,4 pokoje,87.15 m²,2 piętro
46,Mieszkanie na Woli z balkonem i garażem!!,https://www.otodom.pl/pl/oferta/mieszkanie-na-woli-z-balkonem-i-garazem-ID4u0uy,"ul. Jana Ostroroga, Młynów, Wola, Warszawa, mazowieckie",730 000 zł,1 pokój,30.54 m²,3 piętro
47,3 pokoje | Rozkładowe | Metro | Ksawerów,https://www.otodom.pl/pl/oferta/3-pokoje-rozkladowe-metro-ksawerow-ID4u07p,"ul. Zygmunta Modzelewskiego, Ksawerów, Mokotów, Warszawa, mazowieckie",1 340 000 zł,3 pokoje,67.16 m²,6 piętro
48,3 Pokoje | Kameralne Osiedle | Mokotów | Gotowe,https://www.otodom.pl/pl/oferta/3-pokoje-kameralne-osiedle-mokotow-gotowe-ID4tWka,"ul. Siekierkowska, Siekierki, Mokotów, Warszawa, mazowieckie",1 340 000 zł,3 pokoje,65.88 m²,2 piętro
49,3pokojowe narożne mieszkanie z balkonem i loggią!,https://www.otodom.pl/pl/oferta/3pokojowe-narozne-mieszkanie-z-balkonem-i-loggia-ID4tUzR,"al. Aleje Jerozolimskie, Stara Ochota, Ochota, Warszawa, mazowieckie",850 000 zł,3 pokoje,46.1 m²,8 piętro
50,"Nowy Świat, 2 pokoje, mieszkanie w sercu miasta!",https://www.otodom.pl/pl/oferta/nowy-swiat-2-pokoje-mieszkanie-w-sercu-miasta-ID4tVr1,"ul. Franciszkańska, Nowe Miasto, Śródmieście, Warszawa, mazowieckie",800 000 zł,2 pokoje,35 m²,1 piętro
51,Dwustronne/3 pokoje/Loggia/Kamienica/Ujazdów!,https://www.otodom.pl/pl/oferta/dwustronne-3-pokoje-loggia-kamienica-ujazdow-ID4tTmk,"ul. Nowosielecka, Sielce, Mokotów, Warszawa, mazowieckie",1 540 000 zł,3 pokoje,64.3 m²,3 piętro
52,2 Pokoje | Młociny | Idealne Dla Studenta Lub Pary,https://www.otodom.pl/pl/oferta/2-pokoje-mlociny-idealne-dla-studenta-lub-pary-ID4tL08,"ul. Encyklopedyczna, Młociny, Bielany, Warszawa, mazowieckie",1 050 000 zł,2 pokoje,58.5 m²,parter
53,3 pokoje | Prestiżowa inwestycja | Fort Bema,https://www.otodom.pl/pl/oferta/3-pokoje-prestizowa-inwestycja-fort-bema-ID4tIkj,"ul. Jerzego Waldorffa, Fort Bema, Bemowo, Warszawa, mazowieckie",1 500 000 zł,3 pokoje,60.45 m²,1 piętro
54,Metro|Centrum|Kamienica|3.5H|Parking|Od Zaraz|,https://www.otodom.pl/pl/oferta/metro-centrum-kamienica-3-5h-parking-od-zaraz-ID4tJEf,"pl. Plac Grzybowski, Śródmieście Północne, Śródmieście, Warszawa, mazowieckie",1 580 000 zł,2 pokoje,54.74 m²,1 piętro
55,3 Pokoje | Mokotów | Do Wprowadzenia | Ogród,https://www.otodom.pl/pl/oferta/3-pokoje-mokotow-do-wprowadzenia-ogrod-ID4tI2l,"ul. Bokserska, Wyczółki, Ursynów, Warszawa, mazowieckie",1 050 000 zł,3 pokoje,51.62 m²,parter
56,2 Pokoje / Klimatyzacja / Loggia / Centrum / Metro,https://www.otodom.pl/pl/oferta/2-pokoje-klimatyzacja-loggia-centrum-metro-ID4tC6J,"ul. Żelazna, Mirów, Wola, Warszawa, mazowieckie",995 000 zł,2 pokoje,44.8 m²,3 piętro
57,,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-30m2-ogrodek-bezposrednio-ID.4pF2n,,,Brak informacji,Brak informacji,Brak informacji
lp,title,link,localization,price,rooms_number,area,floor
58,gotowe * dwustronne *przytulne 2 pokoje* 2 x ogród,https://www.otodom.pl/pl/oferta/gotowe-dwustronne-przytulne-2-pokoje-2-x-ogrod-ID4t4MJ,"ul. Jana Ostroroga, Młynów, Wola, Warszawa, mazowieckie",999 000 zł,2 pokoje,42.9 m²,parter
59,"NOWE, 3 pokoje, Klima, Garaż, bez PCC bezpośrednio",https://www.otodom.pl/pl/oferta/nowe-3-pokoje-klima-garaz-bez-pcc-bezposrednio-ID4u1ZU,"ul. Kompanii AK ""Goplana"" 9B, Szamoty, Ursus, Warszawa, mazowieckie",849 000 zł,3 pokoje,43 m²,4 piętro
60,Mieszkanie 2-pokojowe na Woli z balkonem!,https://www.otodom.pl/pl/oferta/mieszkanie-2-pokojowe-na-woli-z-balkonem-ID4t1JN,"Ulrychów, Wola, Warszawa, mazowieckie",895 000 zł,2 pokoje,56.1 m²,parter
61,Piękne 3 pokojowe Mieszkanie z Tarasem przy Lesie,https://www.otodom.pl/pl/oferta/piekne-3-pokojowe-mieszkanie-z-tarasem-przy-lesie-ID4tzA3,"ul. Winorośli, Nowodwory, Białołęka, Warszawa, mazowieckie",950 000 zł,3 pokoje,62.44 m²,4 piętro
62,2pok. z tarasem na Kamionku,https://www.otodom.pl/pl/oferta/2pok-z-tarasem-na-kamionku-ID4twup,"ul. Mińska, Kamionek, Praga-Południe, Warszawa, mazowieckie",1 020 000 zł,2 pokoje,54.74 m²,1 piętro
63,"Przestronne, rodzinne mieszkanie z balkonem",https://www.otodom.pl/pl/oferta/przestronne-rodzinne-mieszkanie-z-balkonem-ID4tseO,"al. Aleja Wilanowska, Stegny, Mokotów, Warszawa, mazowieckie",1 400 000 zł,4 pokoje,72.79 m²,1 piętro
64,Nowe|2Pokoje|Balkon|Parking|Park|Cicho|2.72H,https://www.otodom.pl/pl/oferta/nowe-2pokoje-balkon-parking-park-cicho-2-72h-ID4trdt,"ul. Klinkierowa, Raków, Włochy, Warszawa, mazowieckie",635 000 zł,2 pokoje,36.29 m²,3 piętro
65,"Dwustronne, 2 pokoje z kuchnią, loggia Inwestycja!",https://www.otodom.pl/pl/oferta/dwustronne-2-pokoje-z-kuchnia-loggia-inwestycja-ID4trh1,"ul. Jana Olbrachta, Ulrychów, Wola, Warszawa, mazowieckie",664 000 zł,2 pokoje,41.53 m²,5 piętro
66,3 Pokoje | Wola | Centrum | Idealne Pod Inwetycję!,https://www.otodom.pl/pl/oferta/3-pokoje-wola-centrum-idealne-pod-inwetycje-ID4tbo1,"ul. Ogrodowa, Mirów, Wola, Warszawa, mazowieckie",870 000 zł,3 pokoje,60 m²,8 piętro
67,2 pokoje | Przy metrze | Wysoki standard,https://www.otodom.pl/pl/oferta/2-pokoje-przy-metrze-wysoki-standard-ID4tkfB,"ul. Stefana Żeromskiego, Słodowiec, Bielany, Warszawa, mazowieckie",1 160 000 zł,2 pokoje,48.67 m²,10 piętro
68,"Jasne i ciche 2 pokoje, obok Westfield Mokotów!!",https://www.otodom.pl/pl/oferta/jasne-i-ciche-2-pokoje-obok-westfield-mokotow-ID4toRo,"ul. Wiartel, Służew, Mokotów, Warszawa, mazowieckie",630 000 zł,2 pokoje,37.2 m²,5 piętro
69,Metro|Balkon|Parking|Zamknięte Osiedle|Od Zaraz|,https://www.otodom.pl/pl/oferta/metro-balkon-parking-zamkniete-osiedle-od-zaraz-ID4t55d,"ul. Zygmunta Krasińskiego, Sady Żoliborskie, Żoliborz, Warszawa, mazowieckie",1 000 000 zł,2 pokoje,45.91 m²,1 piętro
70,Gocław | 3 pokoje | Balkon | Wysoki standard,https://www.otodom.pl/pl/oferta/goclaw-3-pokoje-balkon-wysoki-standard-ID4t9NQ,"Optyków, Gocław, Praga-Południe, Warszawa, mazowieckie",1 275 000 zł,3 pokoje,59.39 m²,2 piętro
71,Wysoki Standard|Parking|Nowe|3 Pokoje| Balkon|,https://www.otodom.pl/pl/oferta/wysoki-standard-parking-nowe-3-pokoje-balkon-ID4t4QC,"ul. Klinkierowa, Raków, Włochy, Warszawa, mazowieckie",1 050 000 zł,3 pokoje,48.7 m²,3 piętro
72,3 pok.rozkładowe z dużym potencjałem na Bielanach,https://www.otodom.pl/pl/oferta/3-pok-rozkladowe-z-duzym-potencjalem-na-bielanach-ID4t0Lb,"ul. Osikowa, Chomiczówka, Bielany, Warszawa, mazowieckie",780 000 zł,3 pokoje,62.9 m²,4 piętro
73,Dwa poziomy|do remontu|parking| widok panorama,https://www.otodom.pl/pl/oferta/dwa-poziomy-do-remontu-parking-widok-panorama-ID4sZSw,"ul. Eugeniusza Kwiatkowskiego, Gocław, Praga-Południe, Warszawa, mazowieckie",1 320 000 zł,3 pokoje,91.51 m²,10 piętro
74,Nowoczesne mieszkanie w prestiżowej dzielnicy!,https://www.otodom.pl/pl/oferta/nowoczesne-mieszkanie-w-prestizowej-dzielnicy-ID4sVf2,"ul. Banderii, Młynów, Wola, Warszawa, mazowieckie",1 000 000 zł,2 pokoje,55.3 m²,8 piętro
75,Nowe | Komfortowe | 3 Pokoje | Mokotów,https://www.otodom.pl/pl/oferta/nowe-komfortowe-3-pokoje-mokotow-ID4sM5h,"ul. Bartycka, Siekierki, Mokotów, Warszawa, mazowieckie",1 090 000 zł,3 pokoje,62 m²,2 piętro
76,2 pokoje | balkon | komórka,https://www.otodom.pl/pl/oferta/2-pokoje-balkon-komorka-ID4swLX,"ul. Juliusza Ordona, Odolany, Wola, Warszawa, mazowieckie",990 000 zł,2 pokoje,49.61 m²,3 piętro
77,Metro Chrzanów | duży balkon | świetny rozkład,https://www.otodom.pl/pl/oferta/metro-chrzanow-duzy-balkon-swietny-rozklad-ID4swp9,"ul. Szeligowska, Chrzanów, Bemowo, Warszawa, mazowieckie",1 120 000 zł,3 pokoje,64.27 m²,1 piętro
78,3 pokoje| Dwa tarasy| Nowoczesne| 2021|Poddasze,https://www.otodom.pl/pl/oferta/3-pokoje-dwa-tarasy-nowoczesne-2021-poddasze-ID4s8Xq,"ul. Sarabandy, Jeziorki Południowe, Ursynów, Warszawa, mazowieckie",1 390 000 zł,3 pokoje,100 m²,1 piętro
79,Panorama | komórka | jasne,https://www.otodom.pl/pl/oferta/panorama-komorka-jasne-ID4rWLw,"ul. Jana Kazimierza 43, Odolany, Wola, Warszawa, mazowieckie",1 400 000 zł,3 pokoje,67.18 m²,10 piętro
80,Ogródek | już oddane | dwustronne,https://www.otodom.pl/pl/oferta/ogrodek-juz-oddane-dwustronne-ID4rWVr,"Giserska, Szamoty, Ursus, Warszawa, mazowieckie",800 000 zł,3 pokoje,63.17 m²,parter
81,2-pok. z panoramą miasta na zielonych Nowolipkach,https://www.otodom.pl/pl/oferta/2-pok-z-panorama-miasta-na-zielonych-nowolipkach-ID4qTVR,"ul. Esperanto, Nowolipki, Wola, Warszawa, mazowieckie",700 000 zł,2 pokoje,37.88 m²,8 piętro
82,"2 pokoje z tarasem, wysoki standard - Ursus",https://www.otodom.pl/pl/oferta/2-pokoje-z-tarasem-wysoki-standard-ursus-ID4qYTv,"ul. Edwarda Habicha, Szamoty, Ursus, Warszawa, mazowieckie",710 000 zł,2 pokoje,40.88 m²,1 piętro
83,3 Pokoje z balkonem | Bliskość centrum,https://www.otodom.pl/pl/oferta/3-pokoje-z-balkonem-bliskosc-centrum-ID4qIo8,"ul. Dzielna, Nowolipki, Wola, Warszawa, mazowieckie",1 950 000 zł,3 pokoje,68.81 m²,4 piętro
84,Piękne mieszkanie na Ursynowie blisko metra,https://www.otodom.pl/pl/oferta/piekne-mieszkanie-na-ursynowie-blisko-metra-ID4qrHK,"ul. Alternatywy, Stary Imielin, Ursynów, Warszawa, mazowieckie",1 140 000 zł,3 pokoje,82.57 m²,8 piętro
85,Wilanów 3 pokoje Okazja,https://www.otodom.pl/pl/oferta/wilanow-3-pokoje-okazja-ID4tOMo,"ul. Herbu Janina 3, Błonia Wilanowskie, Wilanów, Warszawa, mazowieckie",1 075 000 zł,3 pokoje,54 m²,4 piętro
86,Rozkładowe 2 pok.z osobna kuchnią i balkonem,https://www.otodom.pl/pl/oferta/rozkladowe-2-pok-z-osobna-kuchnia-i-balkonem-ID4u2Ci,"ul. Wyszogrodzka 18, Bródno, Targówek, Warszawa, mazowieckie",450 000 zł,2 pokoje,37.7 m²,7 piętro
87,4-pokojowe mieszkanie 74m2 + balkon,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-74m2-balkon-ID4qMIf,"ul. Zwrotnicza, Czyste, Wola, Warszawa, mazowieckie",1 817 700 zł,4 pokoje,74.94 m²,5 piętro
88,4-pokojowe mieszkanie 84m2 + ogródek Bezpośrednio,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-84m2-ogrodek-bezposrednio-ID4qNUY,"ul. Marywilska 19, Żerań, Białołęka, Warszawa, mazowieckie",Zapytaj o cenę,4 pokoje,84.4 m²,parter
89,5-pokojowe mieszkanie 118m2 + balkon Bez Prowizji,https://www.otodom.pl/pl/oferta/5-pokojowe-mieszkanie-118m2-balkon-bez-prowizji-ID4tabH,"ul. Solińska, Okęcie, Włochy, Warszawa, mazowieckie",Zapytaj o cenę,5 pokoi,118.58 m²,3 piętro
90,3-pokojowe mieszkanie 63m2 + balkon Bez Prowizji,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-63m2-balkon-bez-prowizji-ID4kgbA,"ul. Sokratesa, Wawrzyszew, Bielany, Warszawa, mazowieckie",1 143 000 zł,3 pokoje,63.98 m²,2 piętro
91,,https://www.otodom.pl/pl/oferta/piekne-3-pokojowe-mieszkanie-z-tarasem-przy-lesie-ID.4tzA3,,,Brak informacji,Brak informacji,Brak informacji
lp,title,link,localization,price,rooms_number,area,floor
92,"3 pokoje, garaż, komórka, na Targówku przy metrze",https://www.otodom.pl/pl/oferta/3-pokoje-garaz-komorka-na-targowku-przy-metrze-ID4tQz1,"Zacisze, Targówek, Warszawa, mazowieckie",1 099 000 zł,3 pokoje,67.7 m²,4 piętro
93,Kawalerka z klimatyzacją oraz umeblowana.,https://www.otodom.pl/pl/oferta/kawalerka-z-klimatyzacja-oraz-umeblowana-ID4tmo4,"ul. Smocza 26, Nowolipki, Wola, Warszawa, mazowieckie",580 000 zł,1 pokój,27 m²,4 piętro
94,Żerań I 2 pok. I umeblowane I balkon I garaż,https://www.otodom.pl/pl/oferta/zeran-i-2-pok-i-umeblowane-i-balkon-i-garaz-ID4tomz,"ul. Krzyżówki 11b, Żerań, Białołęka, Warszawa, mazowieckie",690 000 zł,2 pokoje,44.2 m²,4 piętro
95,4-pokojowe mieszkanie 96m2 + 2 balkony,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-96m2-2-balkony-ID4tabi,"ul. Solińska, Okęcie, Włochy, Warszawa, mazowieckie",Zapytaj o cenę,4 pokoje,96.01 m²,1 piętro
